phi.hat,X,mBIC,t.BIC,dBIC,X.1,mMBIC,t.MBIC,dMBIC,X.2,mMDL,t.MDL,dMDL,X.3,mBS,t.BS,dBS,X.4,mWBS,t.WBS,dWBS
-0.011041589,BIC,4,"126, 250, 376, 491",1.002,MBIC,4,"126, 252, 376, 491",1.002,MDL,4,"126, 246, 377, 491",1.012,BS,3,"124, 374, 250",0.01,WBS,3,"374, 249, 124",0.012
0.127604007,BIC,3,"127, 250, 369",0.018,MBIC,3,"125, 252, 369",0.018,MDL,3,"128, 252, 369",0.02,BS,1,382,2.012,WBS,3,"248, 123, 367",0.03
0.105302257,BIC,3,"128, 255, 371",0.022,MBIC,3,"128, 254, 371",0.02,MDL,3,"128, 255, 371",0.022,BS,1,373,2.006,WBS,3,"369, 252, 126",0.016
0.021505645,BIC,3,"126, 250, 377",0.004,MBIC,3,"123, 250, 376",0.008,MDL,3,"126, 250, 377",0.004,BS,1,124,2.004,WBS,3,"124, 248, 374",0.014
0.145381599,BIC,3,"123, 255, 375",0.016,MBIC,3,"122, 254, 374",0.018,MDL,3,"122, 255, 374",0.02,BS,1,372,2.008,WBS,3,"372, 120, 253",0.024
0.092899515,BIC,3,"134, 250, 376",0.018,MBIC,3,"134, 250, 376",0.018,MDL,3,"131, 250, 376",0.012,BS,3,"374, 132, 248",0.022,WBS,3,"374, 248, 132",0.022
0.038036787,BIC,4,"36, 121, 253, 373",1.02,MBIC,4,"36, 121, 255, 373",1.024,MDL,4,"36, 122, 253, 373",1.018,BS,3,"371, 119, 245",0.036,WBS,3,"119, 251, 371",0.024
0.053638688,BIC,3,"124, 249, 375",0.01,MBIC,3,"123, 249, 375",0.012,MDL,3,"124, 246, 375",0.016,BS,1,121,2.01,WBS,3,"121, 247, 373",0.024
-0.040040813,BIC,3,"123, 244, 406",0.08,MBIC,3,"123, 243, 407",0.084,MDL,3,"123, 244, 407",0.082,BS,1,405,2.058,WBS,3,"242, 121, 405",0.086
-0.082505615,BIC,3,"125, 249, 378",0.01,MBIC,3,"118, 249, 378",0.024,MDL,3,"123, 249, 379",0.016,BS,4,"376, 247, 77, 121",1.018,WBS,3,"376, 247, 116",0.028
-0.057180663,BIC,3,"128, 247, 376",0.012,MBIC,3,"127, 247, 375",0.012,MDL,3,"127, 248, 375",0.01,BS,3,"125, 373, 246",0.018,WBS,3,"373, 246, 125",0.018
0.012564979,BIC,3,"128, 250, 369",0.02,MBIC,3,"128, 250, 369",0.02,MDL,3,"128, 250, 369",0.02,BS,3,"367, 126, 248",0.024,WBS,3,"126, 248, 367",0.024
0.146901234,BIC,3,"130, 252, 374",0.014,MBIC,3,"130, 251, 372",0.016,MDL,3,"130, 251, 372",0.016,BS,3,"122, 370, 227",0.068,WBS,3,"128, 249, 370",0.02
-0.030879128,BIC,3,"128, 244, 372",0.026,MBIC,3,"126, 244, 372",0.022,MDL,3,"126, 243, 372",0.024,BS,3,"124, 370, 246",0.026,WBS,3,"370, 242, 124",0.034
0.122547736,BIC,3,"126, 252, 383",0.016,MBIC,3,"126, 252, 383",0.016,MDL,3,"126, 251, 383",0.014,BS,1,97,2.058,WBS,3,"124, 250, 380",0.014
0.043036857,BIC,3,"120, 255, 378",0.024,MBIC,3,"120, 258, 379",0.032,MDL,3,"120, 252, 378",0.018,BS,1,117,2.018,WBS,3,"118, 376, 250",0.018
-0.092862786,BIC,3,"127, 251, 388",0.026,MBIC,3,"125, 251, 388",0.026,MDL,3,"126, 257, 388",0.036,BS,3,"124, 386, 242",0.042,WBS,3,"124, 249, 386",0.028
0.018203209,BIC,3,"126, 255, 375",0.01,MBIC,3,"125, 253, 376",0.006,MDL,3,"125, 252, 376",0.004,BS,3,"123, 374, 250",0.012,WBS,3,"124, 250, 374",0.01
-0.104850779,BIC,3,"126, 251, 375",0.002,MBIC,3,"126, 250, 375",0.004,MDL,3,"126, 251, 375",0.002,BS,3,"125, 373, 249",0.012,WBS,3,"373, 249, 124",0.014
-0.138972958,BIC,3,"125, 250, 377",0.006,MBIC,3,"125, 251, 377",0.004,MDL,8,"2, 14, 47, 50, 126, 251, 378, 379",5.004,BS,3,"376, 117, 236",0.048,WBS,3,"123, 249, 376",0.01
0.055237676,BIC,3,"123, 251, 371",0.016,MBIC,3,"125, 252, 371",0.014,MDL,3,"123, 253, 371",0.02,BS,1,120,2.012,WBS,3,"124, 369, 250",0.02
-0.023372631,BIC,3,"124, 273, 374",0.052,MBIC,3,"124, 273, 375",0.05,MDL,3,"124, 273, 375",0.05,BS,3,"373, 271, 122",0.054,WBS,3,"373, 122, 271",0.054
0.006500169,BIC,3,"126, 251, 376",0,MBIC,3,"125, 251, 376",0.002,MDL,3,"126, 251, 376",0,BS,3,"110, 374, 249",0.04,WBS,3,"124, 249, 374",0.012
-0.054568704,BIC,3,"126, 251, 373",0.006,MBIC,3,"126, 251, 373",0.006,MDL,3,"126, 251, 373",0.006,BS,3,"96, 250, 374",0.066,WBS,3,"124, 249, 371",0.018
0.030432662,BIC,3,"126, 252, 376",0.002,MBIC,3,"126, 252, 376",0.002,MDL,3,"126, 252, 376",0.002,BS,3,"250, 107, 374",0.044,WBS,3,"124, 250, 374",0.01
-0.05386174,BIC,3,"126, 249, 376",0.004,MBIC,3,"126, 249, 376",0.004,MDL,3,"125, 249, 376",0.006,BS,3,"383, 247, 124",0.026,WBS,3,"366, 124, 247",0.032
-0.035055943,BIC,3,"126, 251, 381",0.01,MBIC,3,"126, 260, 381",0.028,MDL,3,"129, 249, 381",0.02,BS,3,"247, 124, 389",0.038,WBS,3,"379, 124, 247",0.018
-0.025794242,BIC,3,"128, 252, 377",0.008,MBIC,3,"126, 252, 377",0.004,MDL,3,"128, 252, 377",0.008,BS,3,"126, 376, 254",0.006,WBS,3,"376, 250, 126",0.002
0.083130346,BIC,3,"126, 249, 389",0.03,MBIC,3,"123, 249, 388",0.034,MDL,3,"123, 249, 388",0.034,BS,3,"121, 386, 247",0.038,WBS,3,"386, 247, 121",0.038
0.10032116,BIC,3,"126, 252, 390",0.03,MBIC,3,"127, 249, 390",0.034,MDL,3,"127, 250, 390",0.032,BS,3,"124, 388, 248",0.034,WBS,3,"124, 248, 388",0.034
-0.064115483,BIC,5,"125, 252, 353, 354, 376",2.004,MBIC,3,"125, 250, 376",0.004,MDL,3,"124, 252, 376",0.006,BS,3,"123, 381, 250",0.018,WBS,3,"249, 375, 123",0.012
0.043159804,BIC,3,"126, 253, 377",0.006,MBIC,3,"127, 251, 375",0.004,MDL,3,"127, 255, 377",0.012,BS,3,"125, 375, 252",0.006,WBS,3,"375, 250, 125",0.006
0.070903692,BIC,3,"126, 244, 370",0.026,MBIC,3,"126, 247, 370",0.02,MDL,3,"126, 251, 370",0.012,BS,1,374,2.004,WBS,3,"368, 245, 124",0.032
